"rating","price_usd","dominant_label","norm_sentiment","skin_type","token_count","mentions_social_media"
3,90,"Purchase Experience & Satisfaction",0.15,"combination",40,FALSE
3,44,"Texture, Fragrance & Makeup",0.208333333333333,"combination",24,FALSE
5,36,"Texture, Fragrance & Makeup",0.540540540540541,"combination",37,FALSE
5,27,"Problematic Skin (Acne/Sensitivity)",0.129032258064516,"combination",93,FALSE
5,36,"Problematic Skin (Acne/Sensitivity)",0,"combination",83,FALSE
3,36,"Problematic Skin (Acne/Sensitivity)",0.156862745098039,"combination",51,FALSE
5,38,"Problematic Skin (Acne/Sensitivity)",-0.0714285714285714,"oily",28,FALSE
1,18,"Purchase Experience & Satisfaction",0.210526315789474,"combination",19,FALSE
5,14,"Purchase Experience & Satisfaction",0.421052631578947,"combination",19,FALSE
5,18,"Texture, Fragrance & Makeup",0.421052631578947,"combination",19,FALSE
4,34,"Texture, Fragrance & Makeup",0.2,"combination",25,FALSE
4,39,"Texture, Fragrance & Makeup",0.294117647058824,"combination",34,FALSE
5,39,"Texture, Fragrance & Makeup",0.4375,"oily",32,FALSE
5,18,"Moisterization",0.1,"combination",30,FALSE
5,60,"Purchase Experience & Satisfaction",0.130434782608696,"dry",46,FALSE
5,39,"Moisterization",0.146341463414634,"combination",41,FALSE
3,122,"Texture, Fragrance & Makeup",0,"combination",14,FALSE
4,6.5,"Texture, Fragrance & Makeup",0.25,"combination",12,FALSE
1,48,"Problematic Skin (Acne/Sensitivity)",0.032258064516129,"combination",31,FALSE
4,38,"Problematic Skin (Acne/Sensitivity)",0.2,"oily",30,FALSE
5,22,"Texture, Fragrance & Makeup",0.25,"combination",32,FALSE
4,48,"Problematic Skin (Acne/Sensitivity)",0.538461538461538,"oily",13,FALSE
5,80,"Purchase Experience & Satisfaction",0.153846153846154,"combination",52,FALSE
5,46,"Moisterization",0.2,"dry",45,FALSE
4,98,"Moisterization",0.219512195121951,"combination",41,FALSE
5,92,"Problematic Skin (Acne/Sensitivity)",0.0740740740740741,"dry",27,FALSE
5,52,"Moisterization",0.206896551724138,"combination",87,FALSE
5,115,"Moisterization",0.0363636363636364,"combination",55,FALSE
3,39,"Texture, Fragrance & Makeup",0.25,"combination",8,FALSE
5,100,"Moisterization",1,"dry",6,FALSE
4,51,"Problematic Skin (Acne/Sensitivity)",0.285714285714286,"oily",49,FALSE
1,11.99,"Problematic Skin (Acne/Sensitivity)",0,"dry",22,FALSE
5,89,"Texture, Fragrance & Makeup",0.208333333333333,"combination",24,FALSE
5,132,"Texture, Fragrance & Makeup",0.285714285714286,"combination",21,FALSE
4,25,"Purchase Experience & Satisfaction",0.166666666666667,"dry",24,FALSE
5,54,"Moisterization",0.411764705882353,"dry",17,FALSE
5,28,"Texture, Fragrance & Makeup",0.2,"normal",15,FALSE
4,8.9,"Moisterization",0.212121212121212,"dry",33,FALSE
5,50,"Problematic Skin (Acne/Sensitivity)",0.0571428571428571,"combination",35,FALSE
5,21,"Problematic Skin (Acne/Sensitivity)",0.15625,"combination",32,FALSE
5,24,"Purchase Experience & Satisfaction",0.136363636363636,"combination",22,FALSE
5,24,"Problematic Skin (Acne/Sensitivity)",0.210526315789474,"oily",19,FALSE
2,17,"Purchase Experience & Satisfaction",0.25,"normal",4,FALSE
4,65,"Moisterization",0.409090909090909,"combination",22,FALSE
5,18,"Problematic Skin (Acne/Sensitivity)",0,"combination",27,FALSE
5,48,"Purchase Experience & Satisfaction",0.625,"combination",8,FALSE
4,34,"Moisterization",0.133333333333333,"dry",15,FALSE
3,92,"Problematic Skin (Acne/Sensitivity)",0,"combination",36,FALSE
5,18,"Problematic Skin (Acne/Sensitivity)",0.333333333333333,"combination",24,FALSE
5,60,"Texture, Fragrance & Makeup",0.136363636363636,"oily",22,FALSE
5,7,"Texture, Fragrance & Makeup",0.28125,"combination",32,FALSE
5,51,"Moisterization",0.217391304347826,"combination",69,FALSE
2,105,"Problematic Skin (Acne/Sensitivity)",0.0714285714285714,"oily",14,FALSE
3,36,"Texture, Fragrance & Makeup",0.111111111111111,"combination",27,FALSE
5,18,"Problematic Skin (Acne/Sensitivity)",0.175,"combination",40,FALSE
